group;week;Heritability;sd
"""gomFCR""";4;0.21805273;0.039684917
"""gomFCR""";5;0.219142869;0.026604718
"""gomFCR""";6;0.248709947;0.024051121
"""gomFCR""";7;0.190499809;0.021182951
"""gomFCR""";8;0.1231989;0.013763511
"""gomFCR""";9;0.184662747;0.020605489
"""gomFCR""";10;0.308971543;0.030144439
"""gomFCR""";11;0.367386645;0.03548202
"""gomFCR""";12;0.352533649;0.039379705
"""gomFCR""";13;0.402776866;0.042082617
"""mFCR""";4;0.257024267;0.038387952
"""mFCR""";5;0.281250925;0.030055055
"""mFCR""";6;0.266273135;0.026328242
"""mFCR""";7;0.17185396;0.023415639
"""mFCR""";8;0.128042137;0.018996384
"""mFCR""";9;0.250106367;0.030572521
"""mFCR""";10;0.393902131;0.033475359
"""mFCR""";11;0.431189011;0.032858817
"""mFCR""";12;0.356594497;0.036679622
"""mFCR""";13;0.427214237;0.049225559
"""oFCR""";4;0.29760695;0
"""oFCR""";5;0.27595987;0
"""oFCR""";6;0.23671309;0
"""oFCR""";7;0.17186905;0
"""oFCR""";8;0.10777777;0
"""oFCR""";9;0.08131002;0
"""oFCR""";10;0.10070775;0
"""oFCR""";11;0.13684353;0
"""oFCR""";12;0.17944057;0
"""oFCR""";13;0.28140596;0
toFCR;4;0.3673262;
toFCR;5;0.3443229;
toFCR;6;0.2902342;
toFCR;7;0.2173313;
toFCR;8;0.1688393;
toFCR;9;0.1717029;
toFCR;10;0.2018947;
toFCR;11;0.2161434;
toFCR;12;0.2332857;
toFCR;13;0.3528872;
tgomFCR;4;0.4391086;
tgomFCR;5;0.4508733;
tgomFCR;6;0.4107273;
tgomFCR;7;0.2935183;
tgomFCR;8;0.1827058;
tgomFCR;9;0.1907807;
tgomFCR;10;0.2637826;
tgomFCR;11;0.2951175;
tgomFCR;12;0.2966533;
tgomFCR;13;0.4406892;
