Time;sexe;Missproport;Avai;Miss;avail(2583)
2;1;31.52;68.48;3.51;96.49
3;1;100;0;100;0
4;1;100;0;100;0
5;1;100;0;100;0
6;1;29.36;70.64;0.17;99.83
7;1;100;0;100;0
8;1;97.64;2.36;96.66;3.34
9;1;100;0;100;0
10;1;29.48;70.52;0.17;99.83
11;1;98.7;1.3;98.16;1.84
12;1;69.46;30.54;56.85;43.15
13;1;73.23;26.77;62.16;37.84
14;1;29.23;70.77;0;100
15;1;56.23;43.77;39.59;60.41
16;1;60.71;39.29;51.89;48.11
17;1;27.53;72.47;14.4;85.6
2;3;29.69;70.31;3.16;96.84
3;3;99.79;0.21;99.71;0.29
4;3;99.79;0.21;99.71;0.29
5;3;94.94;5.06;92.98;7.02
6;3;27.68;72.32;0;100
7;3;97.7;2.3;96.83;3.17
8;3;97.54;2.46;96.6;3.4
9;3;97.38;2.62;96.41;3.59
10;3;27.28;72.72;0;100
11;3;91.89;8.11;88.87;11.13
12;3;73.88;26.12;64.02;35.98
13;3;69.35;30.65;57.92;42.08
14;3;27.49;72.51;0;100
15;3;47.59;52.41;27.94;72.06
16;3;65.62;34.38;57.69;42.31
17;3;48.48;51.52;37.7;62.3
